date,distance
2/25/2019,7.12
2/26/2019,7.15
2/27/2019,6.04
2/28/2019,5.03
3/4/2019,7.01
3/6/2019,6.05
3/7/2019,5.09
3/11/2019,10.07
3/12/2019,6.18
3/13/2019,6.25
3/18/2019,8.05
3/19/2019,6.59
3/20/2019,3.14
3/21/2019,5.14
3/25/2019,6.11
3/26/2019,5.04
3/27/2019,4.18
3/28/2019,5.04
4/1/2019,2.4
4/2/2019,5.06
4/3/2019,4.24
4/4/2019,2.45
4/7/2019,10.06
4/10/2019,3.11
4/15/2019,4.11
4/16/2019,4.17
4/17/2019,4.19
4/18/2019,4.18
4/22/2019,2.82
4/23/2019,4.14
4/24/2019,4.24
4/25/2019,3.1
4/29/2019,4.16
4/30/2019,4.75
5/2/2019,3.19
5/6/2019,3.78
5/7/2019,3.45
5/8/2019,3.69
5/9/2019,3.04
5/13/2019,4.33
5/15/2019,4.02
5/16/2019,3.04
5/20/2019,3.34
5/21/2019,4.34
5/22/2019,4.19
5/23/2019,3.98
5/27/2019,3.04
5/28/2019,4.07
5/29/2019,3.13
5/30/2019,4.02
6/3/2019,4.04
6/4/2019,3.75
6/5/2019,4.55
6/6/2019,4.17
6/10/2019,4.05
6/11/2019,4.01
6/14/2019,4.06
6/17/2019,3
6/18/2019,4.03
6/19/2019,4.06
6/20/2019,4.07
6/24/2019,4.07
6/25/2019,3.78
6/26/2019,3.02
6/27/2019,3.34
7/1/2019,4.12
7/2/2019,4.07
7/3/2019,3.01
7/5/2019,3.03
7/8/2019,3.03
7/9/2019,4.15
7/10/2019,3.37
7/11/2019,4.8
7/15/2019,3.07
7/16/2019,3.02
7/22/2019,3.06
7/24/2019,3.01
7/25/2019,3.01
7/29/2019,3.82
7/30/2019,3.36
7/31/2019,3.03
8/1/2019,4.03
8/5/2019,4.11
8/6/2019,4.22
8/7/2019,3.05
8/8/2019,3.53
8/12/2019,3.04
8/19/2019,3.1
8/20/2019,3.41
8/21/2019,4.17
8/22/2019,4.03
8/26/2019,3.04
8/27/2019,3.26
8/28/2019,3.39
8/29/2019,3.05
9/3/2019,3.03
9/4/2019,4.22
9/10/2019,2.58
9/12/2019,3.01
9/16/2019,2.85
9/18/2019,2.02
9/23/2019,2.18
9/24/2019,2.28
10/8/2019,2.39
10/10/2019,1.55
10/15/2019,2.01
10/19/2019,2.01
10/24/2019,2.41
10/28/2019,2.01
10/29/2019,2.17
10/30/2019,2.02
11/4/2019,2.24
11/5/2019,3.27
11/6/2019,3.01
11/11/2019,3.18
11/12/2019,2.71
11/13/2019,3.12
11/14/2019,2.33
11/18/2019,2.27
11/19/2019,3.01
11/20/2019,2.03
11/21/2019,3.02
11/25/2019,2.05
11/26/2019,3.37
11/27/2019,3.06
12/2/2019,3.09
12/3/2019,3.06
12/4/2019,3.36
12/5/2019,2.2
12/9/2019,2.06
12/10/2019,3.33
12/11/2019,3.06
12/13/2019,3.04
12/16/2019,3.31
12/17/2019,3.09
12/21/2019,4.07
12/23/2019,3.3
12/25/2019,6.04
12/28/2019,2.11
12/31/2019,3.2
1/2/2020,2.07
1/5/2020,2.17
1/7/2020,5.01
1/10/2020,3.04
1/13/2020,3.01
1/14/2020,3.02
1/15/2020,3.62
1/16/2020,4.21
1/20/2020,3.04
1/21/2020,3.03
1/22/2020,3.41
1/23/2020,4.01
2/3/2020,3
2/4/2020,2.02
2/5/2020,3.95
2/6/2020,3.42
2/10/2020,3
2/11/2020,4.01
2/12/2020,3.21
2/13/2020,3.25
2/17/2020,3.2
2/18/2020,3.48
2/19/2020,3.06
2/20/2020,4.45
2/24/2020,4.18
2/25/2020,2.03
2/26/2020,3.25
3/2/2020,3.16
3/3/2020,4.16
3/4/2020,4.09
3/5/2020,4.36
3/9/2020,6.13
3/10/2020,3.01
3/12/2020,4.07
3/16/2020,3.07
3/17/2020,3.14
3/18/2020,3.5
3/19/2020,3.07
3/23/2020,3.01
3/24/2020,3.57
3/25/2020,2.83
3/26/2020,3.13
3/30/2020,3.05
3/31/2020,3.05
4/1/2020,3.09
4/2/2020,3.18
4/6/2020,3.09
4/7/2020,3.1
4/8/2020,3.16
4/9/2020,3.08
4/13/2020,3.07
4/14/2020,2.99
4/15/2020,3.19
4/16/2020,3.17
4/20/2020,3.51
4/21/2020,3.1
4/22/2020,3.04
4/23/2020,3.12
4/27/2020,3.08
4/28/2020,3.1
4/29/2020,3.32
4/30/2020,3.09
5/4/2020,3.12
5/5/2020,3.12
5/6/2020,3.09
5/7/2020,3.13
5/11/2020,3.09
5/12/2020,3.12
5/13/2020,3.07
5/14/2020,3.1
5/18/2020,3.08
5/19/2020,3.22
5/20/2020,3.24
5/21/2020,3.1
5/25/2020,3.03
5/26/2020,3.17
5/27/2020,3.06
5/28/2020,3.25
6/1/2020,3.4
6/2/2020,3.1
6/3/2020,3.13
6/4/2020,3.02
6/8/2020,3.12
6/9/2020,3.73
6/10/2020,3.82
6/11/2020,3.07
6/22/2020,3.07
6/23/2020,3.15
6/24/2020,3.03
6/25/2020,3.18
6/29/2020,3.06
6/30/2020,3
7/1/2020,2.93
7/2/2020,3.52
7/6/2020,3.15
7/7/2020,3.31
7/8/2020,3.32
7/9/2020,3.5
7/13/2020,3.15
7/14/2020,3.09
7/15/2020,3.16
7/16/2020,3.59
7/20/2020,3.16
7/21/2020,3.16
7/22/2020,3.09
7/23/2020,3.45
8/3/2020,3.4
